id,annotator_id,sentence,label,timestamp,created_at,annotator_name
405,cc7b937d-459e-416b-8fe9-05143627253d,"I would hope Canadians in Quebec and the ROC will send him a message he can't ignore, boycott anything he touches.","{""None"":true,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:13:37.413672+00,2025-06-17 00:13:37.457175+00,Session3
406,cc7b937d-459e-416b-8fe9-05143627253d,"While addiction may call for forgiveness if I don't care for my children, I still must do so or arrange for others to do so.","{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":true,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:24:02.198341+00,2025-06-17 00:13:55.380391+00,Session3
407,cc7b937d-459e-416b-8fe9-05143627253d,"Similarly, I don't believe the public school system should become a place for Friday prayers....especially when males and females are required to worship separately.","{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":true,""Political_Policies"":false}",2025-06-17 00:24:03.429982+00,2025-06-17 00:14:16.827828+00,Session3
408,cc7b937d-459e-416b-8fe9-05143627253d,"Acceptance of gays, against the teachings of most religions, is just one manifestation of the decline of organised religious influence.","{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":true,""Political_Policies"":false}",2025-06-17 00:24:19.782575+00,2025-06-17 00:14:31.953771+00,Session3
409,cc7b937d-459e-416b-8fe9-05143627253d,"For Brexit, the online interactive poll recorded 907, 000 votes & maintained its forecast over the 6 months leading to Britain's decision to leave the EU.Now, the Presidential Election has its own online poll.","{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":true,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:24:22.599525+00,2025-06-17 00:23:55.263635+00,Session3
410,cc7b937d-459e-416b-8fe9-05143627253d,"'It was more serious, back then, of course, as the research director suggests: 'There are health risks to using cannabis ?","{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":true,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:24:29.313641+00,2025-06-17 00:24:29.339252+00,Session3
411,cc7b937d-459e-416b-8fe9-05143627253d,I'm reluctant to embrace the millennial version of an ideal society because life does not really start until after school.,"{""None"":true,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:24:35.525263+00,2025-06-17 00:24:35.555359+00,Session3
412,cc7b937d-459e-416b-8fe9-05143627253d,I like to know how she get away with every thing and not go to jail people even singe a petition to kick her out how the hell is she still in,"{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":true,""Public_Opinion"":true,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:24:42.325127+00,2025-06-17 00:24:42.356578+00,Session3
413,cc7b937d-459e-416b-8fe9-05143627253d,"Thousands of francophones were deprived of their rights, compromised in their education, limited in their future opportunities and publicly demonized as lesser Canadians.","{""None"":false,""Economic"":false,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":true,""Fairness_Equality"":true,""Political_Policies"":false}",2025-06-17 00:24:48.880704+00,2025-06-17 00:24:48.906688+00,Session3
414,cc7b937d-459e-416b-8fe9-05143627253d,"The debt went up by $671,942,119,311.43 in 2013 (according to us government numbers at the treasury dept).How is that a success?","{""None"":false,""Economic"":true,""Morality"":false,""Health_Safety"":false,""Legality_Crime"":false,""Public_Opinion"":false,""Security_Defense"":false,""Cultural_Identity"":false,""Fairness_Equality"":false,""Political_Policies"":false}",2025-06-17 00:24:52.979464+00,2025-06-17 00:24:53.011704+00,Session3
